x [um]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]
0.591247	2.90268e+13	1.0029e+16
0.591897	2.90742e+13	1.00291e+16
0.592548	2.91216e+13	1.00291e+16
0.593199	2.91691e+13	1.00292e+16
0.593849	2.92165e+13	1.00292e+16
0.5945	2.9264e+13	1.00293e+16
0.595151	2.93114e+13	1.00293e+16
0.595802	2.93588e+13	1.00294e+16
0.596452	2.94063e+13	1.00294e+16
0.597103	2.94537e+13	1.00294e+16
0.597754	2.95011e+13	1.00295e+16
0.598405	2.95486e+13	1.00295e+16
0.599055	2.9596e+13	1.00296e+16
0.599706	2.96434e+13	1.00296e+16
0.600357	2.96909e+13	1.00297e+16
0.601008	2.97383e+13	1.00297e+16
0.601658	2.97857e+13	1.00298e+16
0.602309	2.98332e+13	1.00298e+16
0.60296	2.98806e+13	1.00299e+16
0.60361	2.9928e+13	1.00299e+16
0.604261	2.99755e+13	1.003e+16
0.604912	3.00229e+13	1.003e+16
0.605563	3.00703e+13	1.00301e+16
0.606213	3.01178e+13	1.00301e+16
0.606864	3.01652e+13	1.00302e+16
0.607515	3.02126e+13	1.00302e+16
0.608166	3.02601e+13	1.00303e+16
0.608816	3.03075e+13	1.00303e+16
0.609467	3.03549e+13	1.00303e+16
0.610118	3.04024e+13	1.00304e+16
0.610769	3.04498e+13	1.00304e+16
0.611419	3.04972e+13	1.00305e+16
0.61207	3.05446e+13	1.00305e+16
0.612721	3.05921e+13	1.00306e+16
0.613371	3.06395e+13	1.00306e+16
0.614022	3.06869e+13	1.00307e+16
0.614673	3.07344e+13	1.00307e+16
0.615324	3.07818e+13	1.00308e+16
0.615974	3.08292e+13	1.00308e+16
0.616625	3.08766e+13	1.00309e+16
0.617276	3.09241e+13	1.00309e+16
0.617927	3.09715e+13	1.0031e+16
0.618577	3.10189e+13	1.0031e+16
0.619228	3.10664e+13	1.00311e+16
0.619879	3.11138e+13	1.00311e+16
0.62053	3.11612e+13	1.00312e+16
