x [um]	Electric Field [V/cm]	Electric Field [V/cm]
0.698617	2.10027	2.10028
0.699268	2.10025	2.10026
0.699919	2.10023	2.10024
0.70057	2.10021	2.10022
0.70122	2.10019	2.1002
0.701871	2.10017	2.10018
0.702522	2.10015	2.10016
0.703172	2.10013	2.10014
0.703823	2.10011	2.10012
0.704474	2.10008	2.1001
0.705125	2.10006	2.10007
0.705775	2.10004	2.10005
0.706426	2.10002	2.10003
0.707077	2.1	2.10001
0.707728	2.09998	2.09999
0.708378	2.09996	2.09997
0.709029	2.09994	2.09995
0.70968	2.09992	2.09993
0.710331	2.0999	2.09991
0.710981	2.09988	2.09989
0.711632	2.09986	2.09987
0.712283	2.09984	2.09985
0.712933	2.09982	2.09983
0.713584	2.0998	2.09981
0.714235	2.09978	2.09979
0.714886	2.09976	2.09977
0.715536	2.09974	2.09975
0.716187	2.09971	2.09973
0.716838	2.09969	2.0997
0.717489	2.09967	2.09968
0.718139	2.09965	2.09966
0.71879	2.09963	2.09964
0.719441	2.09961	2.09962
0.720092	2.09959	2.0996
0.720742	2.09957	2.09958
0.721393	2.09955	2.09956
0.722044	2.09953	2.09954
0.722694	2.09951	2.09952
0.723345	2.09949	2.0995
0.723996	2.09947	2.09948
0.724647	2.09945	2.09946
0.725297	2.09943	2.09944
0.725948	2.09941	2.09942
0.726599	2.09939	2.0994
0.72725	2.09937	2.09938
0.7279	2.09934	2.09935
0.728551	2.09932	2.09933
0.729202	2.0993	2.09931
0.729853	2.09928	2.09929
0.730503	2.09926	2.09927
0.731154	2.09924	2.09925
0.731805	2.09922	2.09923
0.732455	2.0992	2.09921
0.733106	2.09918	2.09919
0.733757	2.09916	2.09917
0.734408	2.09914	2.09915
0.735058	2.09912	2.09913
0.735709	2.0991	2.09911
0.73636	2.09908	2.09909
0.737011	2.09906	2.09907
0.737661	2.09904	2.09905
0.738312	2.09902	2.09903
0.738963	2.09899	2.099
0.739614	2.09897	2.09898
0.740264	2.09895	2.09896
0.740915	2.09893	2.09894
0.741566	2.09891	2.09892
0.742216	2.09889	2.0989
0.742867	2.09887	2.09888
0.743518	2.09885	2.09886
0.744169	2.09883	2.09884
0.744819	2.09881	2.09882
0.74547	2.09879	2.0988
0.746121	2.09877	2.09878
0.746772	2.09875	2.09876
0.747422	2.09873	2.09874
0.748073	2.09871	2.09872
0.748724	2.09869	2.0987
0.749374	2.09867	2.09868
0.750025	2.09864	2.09865
0.750676	2.09862	2.09863
0.751327	2.0986	2.09861
0.751977	2.09858	2.09859
0.752628	2.09856	2.09857
0.753279	2.09854	2.09855
0.75393	2.09852	2.09853
0.75458	2.0985	2.09851
0.755231	2.09848	2.09849
0.755882	2.09846	2.09847
0.756533	2.09844	2.09845
0.757183	2.09842	2.09843
0.757834	2.0984	2.09841
0.758485	2.09838	2.09839
0.759135	2.09836	2.09837
0.759786	2.09834	2.09835
0.760437	2.09831	2.09833
0.761088	2.09829	2.0983
0.761738	2.09827	2.09828
0.762389	2.09825	2.09826
0.76304	2.09823	2.09824
0.763691	2.09821	2.09822
0.764341	2.09819	2.0982
0.764992	2.09817	2.09818
0.765643	2.09815	2.09816
0.766294	2.09813	2.09814
0.766944	2.09811	2.09812
0.767595	2.09809	2.0981
0.768246	2.09807	2.09808
