x [um]	Potential [V]	Electric Field1 [V/cm]	Electric Field2 [V/cm]	Electron Densities [1/cm^3]	Hole Densities [1/cm^3]	Total Charge Density [C/cm^3]	Conduction Band Energy (eV)
0.331604	-0.346552	-0.00213466	-0.00215167	22500	1e+16	3.42647e+09	0.898227
0.332255	-0.346552	-0.00210118	-0.00211792	22500	1e+16	3.37272e+09	0.898227
0.332906	-0.346552	-0.00206821	-0.0020847	22500	1e+16	3.31981e+09	0.898227
0.333557	-0.346552	-0.00203577	-0.00205199	22500	1e+16	3.26773e+09	0.898227
0.334207	-0.346552	-0.00200384	-0.0020198	22500	1e+16	3.21647e+09	0.898227
0.334858	-0.346552	-0.0019724	-0.00198812	22500	1e+16	3.16601e+09	0.898227
0.335509	-0.346552	-0.00194146	-0.00195693	22500	1e+16	3.11634e+09	0.898227
0.33616	-0.346552	-0.00191101	-0.00192623	22500	1e+16	3.06746e+09	0.898227
0.33681	-0.346552	-0.00188103	-0.00189602	22500	1e+16	3.01934e+09	0.898227
0.337461	-0.346552	-0.00185152	-0.00186628	22500	1e+16	2.97197e+09	0.898227
0.338112	-0.346552	-0.00182248	-0.001837	22500	1e+16	2.92535e+09	0.898227
0.338762	-0.346552	-0.00179389	-0.00180818	22500	1e+16	2.87946e+09	0.898227
0.339413	-0.346552	-0.00176575	-0.00177982	22500	1e+16	2.83429e+09	0.898227
0.340064	-0.346552	-0.00173805	-0.0017519	22500	1e+16	2.78983e+09	0.898227
0.340715	-0.346552	-0.00171079	-0.00172442	22500	1e+16	2.74606e+09	0.898227
0.341365	-0.346552	-0.00168395	-0.00169737	22500	1e+16	2.70298e+09	0.898227
0.342016	-0.346552	-0.00165753	-0.00167074	22500	1e+16	2.66058e+09	0.898227
0.342667	-0.346552	-0.00163153	-0.00164453	22500	1e+16	2.61884e+09	0.898227
0.343318	-0.346552	-0.00160594	-0.00161873	22500	1e+16	2.57776e+09	0.898227
0.343968	-0.346552	-0.00158074	-0.00159334	22500	1e+16	2.53732e+09	0.898227
0.344619	-0.346552	-0.00155595	-0.00156834	22500	1e+16	2.49752e+09	0.898227
0.34527	-0.346552	-0.00153154	-0.00154374	22500	1e+16	2.45834e+09	0.898227
0.345921	-0.346552	-0.00150751	-0.00151952	22500	1e+16	2.41977e+09	0.898227
0.346571	-0.346552	-0.00148387	-0.00149569	22500	1e+16	2.38181e+09	0.898227
0.347222	-0.346552	-0.00146059	-0.00147223	22500	1e+16	2.34445e+09	0.898227
0.347873	-0.346552	-0.00143768	-0.00144913	22500	1e+16	2.30767e+09	0.898227
0.348523	-0.346552	-0.00141512	-0.0014264	22500	1e+16	2.27147e+09	0.898227
0.349174	-0.346552	-0.00139292	-0.00140402	22500	1e+16	2.23583e+09	0.898227
0.349825	-0.346552	-0.00137107	-0.001382	22500	1e+16	2.20076e+09	0.898227
0.350476	-0.346552	-0.00134957	-0.00136032	22500	1e+16	2.16624e+09	0.898227
0.351126	-0.346552	-0.0013284	-0.00133898	22500	1e+16	2.13225e+09	0.898227
0.351777	-0.346552	-0.00130756	-0.00131798	22500	1e+16	2.0988e+09	0.898227
0.352428	-0.346552	-0.00128705	-0.0012973	22500	1e+16	2.06588e+09	0.898227
0.353079	-0.346552	-0.00126686	-0.00127695	22500	1e+16	2.03347e+09	0.898227
0.353729	-0.346552	-0.00124698	-0.00125692	22500	1e+16	2.00157e+09	0.898227
0.35438	-0.346552	-0.00122742	-0.0012372	22500	1e+16	1.97017e+09	0.898227
0.355031	-0.346552	-0.00120817	-0.00121779	22500	1e+16	1.93926e+09	0.898227
0.355681	-0.346552	-0.00118921	-0.00119869	22500	1e+16	1.90884e+09	0.898227
0.356332	-0.346552	-0.00117056	-0.00117989	22500	1e+16	1.8789e+09	0.898227
0.356983	-0.346552	-0.0011522	-0.00116138	22500	1e+16	1.84942e+09	0.898227
0.357634	-0.346552	-0.00113412	-0.00114316	22500	1e+16	1.82041e+09	0.898227
0.358284	-0.346552	-0.00111633	-0.00112523	22500	1e+16	1.79185e+09	0.898227
0.358935	-0.346552	-0.00109882	-0.00110758	22500	1e+16	1.76374e+09	0.898227
0.359586	-0.346552	-0.00108158	-0.0010902	22500	1e+16	1.73607e+09	0.898227
0.360237	-0.346552	-0.00106462	-0.0010731	22500	1e+16	1.70884e+09	0.898227
0.360887	-0.346552	-0.00104792	-0.00105627	22500	1e+16	1.68203e+09	0.898227
0.361538	-0.346552	-0.00103148	-0.0010397	22500	1e+16	1.65564e+09	0.898227
